total_reads	distinct_reads
0	0
100000	10369
200000	13014
300000	14763
400000	16078
500000	17151
600000	18053
700000	18835
800000	19520
900000	20137
1000000	20690
1100000	21199
1200000	21667
1300000	22102
1400000	22505
1500000	22885
1600000	23241
1700000	23581
1800000	23898
1900000	24200
2000000	24490
2100000	24764
2200000	25031
2300000	25280
2400000	25523
2500000	25754
2600000	25981
2700000	26198
2800000	26407
2900000	26607
3000000	26803
3100000	26992
3200000	27175
3300000	27355
3400000	27527
3500000	27694
3600000	27858
3700000	28017
3800000	28173
3900000	28325
4000000	28471
4100000	28615
4200000	28756
4300000	28894
4400000	29029
4500000	29160
4600000	29288
4700000	29415
4800000	29538
4900000	29659
5000000	29778
5100000	29893
5200000	30009
5300000	30120
5400000	30230
5500000	30338
5600000	30444
5700000	30548
5800000	30651
5900000	30751
6000000	30850
6100000	30948
6200000	31044
6300000	31139
6400000	31231
6500000	31323
6600000	31413
6700000	31502
6800000	31589
6900000	31675
7000000	31761
7100000	31844
7200000	31927
7300000	32009
7400000	32088
7500000	32168
7600000	32246
