TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	20668.0	20383.8	20956.1
2000000.0	24458.5	24162.7	24757.9
3000000.0	26762.5	26460.0	27068.5
4000000.0	28426.0	28118.4	28737.0
5000000.0	29718.0	29407.3	30031.9
6000000.0	30783.8	30470.4	31100.4
7000000.0	31675.9	31361.8	31993.1
8000000.0	32447.6	32132.6	32765.7
9000000.0	33109.8	32792.3	33430.5
10000000.0	33683.7	33355.6	34015.0
11000000.0	34212.4	33855.3	34573.3
12000000.0	34701.1	34293.1	35113.9
13000000.0	35132.1	34653.9	35616.9
14000000.0	35534.3	34973.2	36104.3
15000000.0	35910.4	35260.2	36572.5
16000000.0	36250.9	35509.6	37007.7
17000000.0	36547.8	35715.6	37399.4
18000000.0	36837.8	35915.9	37783.4
19000000.0	37112.6	36102.8	38150.6
20000000.0	37361.4	36265.7	38490.2
21000000.0	37581.0	36401.5	38798.7
22000000.0	37794.8	36533.6	39099.6
23000000.0	38004.8	36663.9	39394.7
24000000.0	38204.7	36786.2	39677.9
25000000.0	38393.5	36899.3	39948.2
26000000.0	38572.1	37004.1	40206.4
27000000.0	38741.2	37101.5	40453.5
28000000.0	38897.6	37187.8	40686.1
29000000.0	39044.8	37266.7	40907.7
30000000.0	39184.6	37340.0	41120.3
31000000.0	39321.2	37411.8	41328.1
32000000.0	39441.6	37468.9	41518.1
33000000.0	39560.9	37526.6	41705.5
34000000.0	39674.8	37580.4	41885.9
35000000.0	39783.7	37630.6	42059.9
36000000.0	39887.8	37677.5	42227.7
37000000.0	39986.1	37720.0	42388.3
38000000.0	40079.9	37759.3	42543.0
39000000.0	40169.8	37796.1	42692.6
40000000.0	40256.1	37830.5	42837.3
41000000.0	40339.0	37862.7	42977.3
42000000.0	40418.8	37892.9	43113.0
43000000.0	40495.5	37921.2	43244.5
44000000.0	40569.3	37947.8	43372.0
45000000.0	40640.5	37972.7	43495.8
46000000.0	40709.2	37996.1	43615.9
47000000.0	40775.4	38018.1	43732.6
48000000.0	40839.3	38038.8	43846.0
49000000.0	40901.1	38058.3	43956.2
50000000.0	40960.8	38076.6	44063.5
51000000.0	41018.6	38093.9	44167.9
52000000.0	41077.6	38113.2	44272.7
53000000.0	41134.8	38131.5	44374.7
54000000.0	41190.2	38148.8	44474.1
55000000.0	41241.8	38163.1	44568.9
56000000.0	41291.9	38176.6	44661.4
57000000.0	41340.4	38189.3	44751.6
58000000.0	41387.6	38201.3	44839.6
