total_reads	distinct_reads
0	0
100000	20718
200000	28363
300000	33597
400000	37644
500000	40949
600000	43763
700000	46215
800000	48385
900000	50345
1000000	52119
1100000	53750
1200000	55254
1300000	56647
1400000	57955
1500000	59178
1600000	60332
1700000	61424
1800000	62458
1900000	63437
2000000	64373
2100000	65267
2200000	66123
2300000	66942
2400000	67731
2500000	68489
2600000	69219
2700000	69923
2800000	70604
2900000	71262
3000000	71895
3100000	72514
3200000	73113
3300000	73694
3400000	74258
3500000	74806
3600000	75342
3700000	75858
3800000	76366
3900000	76861
4000000	77341
4100000	77814
4200000	78272
4300000	78722
4400000	79162
4500000	79590
4600000	80010
4700000	80423
4800000	80826
4900000	81217
5000000	81607
5100000	81987
5200000	82358
5300000	82723
5400000	83083
5500000	83437
5600000	83782
5700000	84121
5800000	84458
5900000	84785
6000000	85108
6100000	85425
6200000	85739
6300000	86047
6400000	86351
6500000	86648
6600000	86943
6700000	87233
6800000	87517
6900000	87799
7000000	88076
7100000	88349
7200000	88618
7300000	88884
7400000	89147
7500000	89406
7600000	89661
7700000	89913
7800000	90162
7900000	90406
8000000	90649
8100000	90888
8200000	91124
8300000	91359
8400000	91589
8500000	91818
8600000	92043
8700000	92265
8800000	92485
8900000	92702
9000000	92918
9100000	93130
9200000	93340
9300000	93548
9400000	93754
9500000	93957
9600000	94159
9700000	94359
9800000	94555
9900000	94750
10000000	94943
10100000	95134
10200000	95323
