total_reads	distinct_reads
0	0
100000	49906
200000	78393
300000	99520
400000	116435
500000	130535
600000	142617
700000	153206
800000	162623
900000	171084
1000000	178769
1100000	185819
1200000	192322
1300000	198351
1400000	203976
1500000	209247
1600000	214211
1700000	218896
1800000	223331
1900000	227544
2000000	231555
2100000	235391
2200000	239059
2300000	242568
2400000	245950
2500000	249191
2600000	252317
2700000	255341
2800000	258254
2900000	261074
3000000	263807
3100000	266456
3200000	269028
3300000	271525
3400000	273952
3500000	276321
3600000	278623
3700000	280864
3800000	283055
3900000	285197
4000000	287283
4100000	289318
4200000	291322
4300000	293270
4400000	295186
4500000	297057
4600000	298889
4700000	300690
4800000	302453
4900000	304190
5000000	305888
5100000	307560
5200000	309202
5300000	310813
5400000	312403
5500000	313962
5600000	315490
5700000	317003
5800000	318490
5900000	319952
6000000	321397
6100000	322816
6200000	324218
6300000	325599
6400000	326957
6500000	328299
6600000	329620
6700000	330927
6800000	332217
6900000	333490
7000000	334745
7100000	335985
7200000	337212
7300000	338420
7400000	339615
7500000	340798
7600000	341964
7700000	343120
7800000	344260
7900000	345387
8000000	346503
8100000	347608
8200000	348700
8300000	349781
8400000	350847
8500000	351903
8600000	352952
8700000	353988
8800000	355012
8900000	356029
9000000	357035
9100000	358029
9200000	359013
9300000	359993
9400000	360962
9500000	361921
9600000	362870
9700000	363812
9800000	364746
9900000	365670
10000000	366586
10100000	367494
10200000	368397
10300000	369289
10400000	370175
10500000	371051
10600000	371925
10700000	372788
10800000	373646
10900000	374496
11000000	375335
11100000	376173
11200000	377004
11300000	377827
11400000	378644
11500000	379455
11600000	380260
11700000	381058
11800000	381850
11900000	382637
12000000	383421
12100000	384195
12200000	384966
12300000	385728
12400000	386488
12500000	387242
12600000	387989
12700000	388734
12800000	389470
12900000	390204
13000000	390931
13100000	391654
13200000	392373
13300000	393086
13400000	393796
13500000	394500
13600000	395199
13700000	395894
13800000	396585
13900000	397270
14000000	397954
14100000	398633
14200000	399305
14300000	399975
14400000	400639
14500000	401299
14600000	401956
14700000	402611
14800000	403257
14900000	403907
15000000	404546
15100000	405183
15200000	405818
15300000	406448
15400000	407077
15500000	407698
15600000	408316
15700000	408935
15800000	409546
15900000	410158
16000000	410761
16100000	411363
16200000	411963
16300000	412559
16400000	413150
16500000	413739
16600000	414326
16700000	414910
16800000	415489
16900000	416067
17000000	416638
17100000	417211
17200000	417777
17300000	418342
17400000	418902
17500000	419462
17600000	420019
17700000	420574
17800000	421124
17900000	421670
18000000	422215
18100000	422758
18200000	423297
18300000	423834
18400000	424368
18500000	424900
18600000	425429
18700000	425954
18800000	426478
18900000	426999
19000000	427517
19100000	428033
19200000	428548
19300000	429060
19400000	429569
19500000	430075
19600000	430578
19700000	431082
19800000	431582
19900000	432076
20000000	432573
20100000	433064
20200000	433555
20300000	434045
20400000	434530
20500000	435015
20600000	435496
20700000	435974
20800000	436454
20900000	436927
21000000	437400
21100000	437873
21200000	438340
21300000	438808
21400000	439273
21500000	439735
21600000	440197
21700000	440655
21800000	441112
21900000	441567
22000000	442020
22100000	442471
22200000	442921
22300000	443367
22400000	443813
22500000	444256
22600000	444699
22700000	445138
22800000	445576
22900000	446011
23000000	446447
23100000	446878
23200000	447309
23300000	447737
23400000	448166
23500000	448593
23600000	449016
23700000	449439
23800000	449859
23900000	450277
24000000	450695
24100000	451110
24200000	451523
24300000	451935
24400000	452346
24500000	452755
24600000	453163
24700000	453567
24800000	453973
24900000	454375
25000000	454777
25100000	455176
25200000	455573
25300000	455970
25400000	456365
25500000	456758
25600000	457150
25700000	457541
25800000	457929
25900000	458318
26000000	458703
26100000	459087
26200000	459470
26300000	459853
26400000	460233
26500000	460612
26600000	460988
26700000	461366
26800000	461740
26900000	462112
27000000	462484
27100000	462855
27200000	463223
27300000	463592
27400000	463957
27500000	464324
27600000	464687
27700000	465049
27800000	465411
27900000	465770
28000000	466128
28100000	466486
28200000	466842
28300000	467198
28400000	467550
28500000	467903
28600000	468254
28700000	468603
28800000	468951
28900000	469298
29000000	469644
29100000	469990
29200000	470333
29300000	470674
29400000	471016
29500000	471355
29600000	471695
29700000	472033
29800000	472369
29900000	472704
30000000	473038
30100000	473370
30200000	473703
30300000	474033
30400000	474362
30500000	474691
30600000	475017
30700000	475344
30800000	475669
30900000	475993
31000000	476316
31100000	476637
31200000	476958
31300000	477277
31400000	477595
31500000	477912
31600000	478229
31700000	478544
31800000	478858
31900000	479171
32000000	479482
32100000	479794
