TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
2000000.0	231332.0	229677.6	232998.3
4000000.0	287050.5	285299.4	288812.4
6000000.0	321194.0	319371.3	323027.1
8000000.0	346269.0	344384.7	348163.6
10000000.0	366312.0	364373.5	368260.8
12000000.0	383113.5	381126.9	385110.4
14000000.0	397606.0	395577.7	399644.7
16000000.0	410361.0	408295.8	412436.7
18000000.0	421778.0	419680.6	423885.9
20000000.0	432134.5	430009.2	434270.3
22000000.0	441583.2	439431.8	443745.2
24000000.0	450267.0	448093.1	452451.4
26000000.0	458283.7	456089.7	460488.2
28000000.0	465718.3	463506.1	467941.1
30000000.0	472626.5	470397.2	474866.5
32000000.0	479081.7	476836.0	481337.9
34000000.0	485107.3	482840.3	487385.0
36000000.0	490802.9	488511.1	493105.3
38000000.0	496131.1	493808.2	498464.9
40000000.0	501115.3	498736.5	503505.5
42000000.0	505839.8	503349.5	508342.5
44000000.0	510227.2	507555.0	512913.4
46000000.0	514486.1	511559.1	517429.8
48000000.0	518342.0	515089.9	521614.6
50000000.0	522250.4	518612.6	525913.8
52000000.0	525862.1	521793.5	529962.4
54000000.0	529390.7	524860.8	533959.7
56000000.0	532685.6	527672.4	537746.6
58000000.0	535847.2	530331.5	541420.3
60000000.0	538966.1	532929.1	545071.4
62000000.0	541845.2	535267.9	548503.2
64000000.0	544583.2	537446.8	551814.3
66000000.0	547152.9	539439.7	554976.4
68000000.0	549708.7	541402.8	558142.0
70000000.0	552249.1	543337.1	561307.2
72000000.0	554655.9	545127.3	564351.0
74000000.0	556992.5	546839.4	567334.1
76000000.0	559288.2	548505.5	570282.8
78000000.0	561434.4	550019.5	573086.2
80000000.0	563480.3	551433.0	575790.9
82000000.0	565406.1	552728.1	578375.0
84000000.0	567247.9	553942.7	580872.6
86000000.0	569074.4	555147.3	583350.9
88000000.0	570840.9	556298.4	585763.6
90000000.0	572542.3	557391.9	588104.4
92000000.0	574202.9	558453.3	590396.7
94000000.0	575868.2	559528.7	592684.8
96000000.0	577483.3	560563.9	594913.4
98000000.0	579080.8	561591.9	597114.3
100000000.0	580673.4	562625.9	599299.8
102000000.0	582204.7	563609.7	601413.2
104000000.0	583692.9	564561.6	603472.4
106000000.0	585139.8	565483.6	605479.1
108000000.0	586522.5	566352.9	607410.4
110000000.0	587822.0	567150.4	609247.1
112000000.0	589086.2	567923.7	611037.1
