total_reads	distinct_reads
0	0
1000000	933036
2000000	1.8107e+06
3000000	2.65619e+06
4000000	3.47718e+06
5000000	4.27794e+06
6000000	5.06128e+06
7000000	5.82921e+06
8000000	6.58324e+06
9000000	7.32461e+06
10000000	8.0543e+06
11000000	8.77314e+06
12000000	9.48182e+06
13000000	1.0181e+07
14000000	1.08711e+07
15000000	1.15527e+07
16000000	1.22262e+07
17000000	1.2892e+07
18000000	1.35504e+07
19000000	1.42017e+07
20000000	1.48461e+07
21000000	1.5484e+07
22000000	1.61156e+07
23000000	1.67411e+07
24000000	1.73607e+07
25000000	1.79746e+07
26000000	1.8583e+07
27000000	1.9186e+07
28000000	1.97838e+07
29000000	2.03766e+07
30000000	2.09644e+07
31000000	2.15475e+07
32000000	2.21258e+07
33000000	2.26996e+07
34000000	2.3269e+07
35000000	2.3834e+07
36000000	2.43948e+07
37000000	2.49514e+07
38000000	2.5504e+07
39000000	2.60526e+07
40000000	2.65974e+07
41000000	2.71383e+07
42000000	2.76755e+07
43000000	2.8209e+07
44000000	2.87389e+07
45000000	2.92653e+07
46000000	2.97883e+07
47000000	3.03078e+07
48000000	3.0824e+07
49000000	3.1337e+07
50000000	3.18467e+07
51000000	3.23532e+07
52000000	3.28566e+07
53000000	3.3357e+07
54000000	3.38543e+07
55000000	3.43486e+07
56000000	3.484e+07
57000000	3.53286e+07
58000000	3.58143e+07
