TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	933090.0	931806.0	934375.7
2000000.0	1810814.0	1808234.8	1813396.9
3000000.0	2656376.5	2652541.5	2660217.1
4000000.0	3477467.0	3472416.7	3482524.7
5000000.0	4278336.0	4272106.3	4284574.8
6000000.0	5061773.0	5054397.4	5069159.3
7000000.0	5829787.0	5821295.5	5838290.9
8000000.0	6583873.0	6574290.3	6593469.7
9000000.0	7325278.5	7314630.8	7335941.7
10000000.0	8055051.0	8043361.8	8066757.1
11000000.0	8773951.0	8761243.3	8786677.2
12000000.0	9482705.5	9469000.3	9496430.6
13000000.0	10181918.0	10167231.6	10196625.6
14000000.0	10872129.5	10856482.0	10887799.6
15000000.0	11553807.0	11537216.4	11570421.5
16000000.0	12227358.0	12209839.5	12244901.6
17000000.0	12893176.0	12874745.6	12911632.8
18000000.0	13551588.5	13532261.2	13570943.4
19000000.0	14202908.0	14182699.4	14223145.4
20000000.0	14847418.5	14826342.7	14868524.3
21000000.0	15485375.0	15463443.9	15507337.2
22000000.0	16117008.5	16094235.5	16139813.7
23000000.0	16742549.0	16718945.6	16766185.8
24000000.0	17362220.5	17337799.0	17386676.4
25000000.0	17976201.0	17950972.8	18001464.6
26000000.0	18584649.0	18558625.0	18610709.5
27000000.0	19187744.5	19160936.1	19214590.4
28000000.0	19785629.5	19758046.8	19813250.7
29000000.0	20378454.0	20350106.3	20406841.2
30000000.0	20966358.5	20937255.0	20995502.4
31000000.0	21549466.0	21519618.5	21579354.9
32000000.0	22127904.0	22097320.9	22158529.5
33000000.0	22701784.5	22670474.1	22733138.2
34000000.0	23271223.0	23239193.9	23303296.2
35000000.0	23836317.5	23803578.2	23869101.8
36000000.0	24397172.5	24363731.2	24430659.7
37000000.0	24953879.0	24919743.9	24988060.9
38000000.0	25506530.5	25471710.8	25541397.8
39000000.0	26055211.0	26019712.7	26090757.7
40000000.0	26600003.5	26563834.4	26636221.8
41000000.0	27140984.5	27104152.5	27177866.5
42000000.0	27678235.0	27640747.7	27715773.1
43000000.0	28211822.5	28173686.3	28250010.3
44000000.0	28741818.5	28703040.3	28780649.1
45000000.0	29268292.5	29228878.4	29307759.7
46000000.0	29791304.0	29751261.4	29831400.5
47000000.0	30310918.5	30270254.1	30351637.5
48000000.0	30827194.0	30785913.7	30868529.7
49000000.0	31340188.5	31298297.9	31382135.2
50000000.0	31849957.0	31807463.5	31892507.3
51000000.0	32356554.5	32313463.2	32399703.3
52000000.0	32860029.5	32816347.1	32903770.0
53000000.0	33360437.0	33316169.1	33404763.7
54000000.0	33857820.5	33812972.5	33902728.0
55000000.0	34352228.5	34306806.2	34397710.9
56000000.0	34843708.5	34797717.4	34889760.4
57000000.0	35332301.0	35285746.6	35378916.9
58000000.0	35818051.0	35770938.9	35865225.2
59000000.0	36300996.5	36253331.8	36348723.9
60000000.0	36781155.4	36732943.4	36829430.7
61000000.0	37258591.9	37209837.7	37307410.0
62000000.0	37733344.0	37684052.7	37782699.7
63000000.0	38205448.4	38155625.1	38255336.7
64000000.0	38674940.9	38624590.5	38725356.9
65000000.0	39141856.4	39090983.9	39192795.1
66000000.0	39606228.7	39554839.0	39657685.3
67000000.0	40068091.0	40016188.7	40120060.5
68000000.0	40527475.2	40475065.2	40579953.1
69000000.0	40984412.8	40931499.8	41037394.3
70000000.0	41438934.4	41385522.8	41492414.8
71000000.0	41891069.6	41837164.2	41945044.4
72000000.0	42340847.5	42286452.9	42395312.1
73000000.0	42788296.5	42733417.1	42843246.4
74000000.0	43233444.3	43178084.6	43288875.0
75000000.0	43676317.9	43620482.2	43732225.2
76000000.0	44116943.8	44060636.6	44173322.9
77000000.0	44555347.6	44498572.6	44612194.9
78000000.0	44991554.6	44934317.5	45048864.6
79000000.0	45425589.5	45367893.9	45483358.6
80000000.0	45857476.5	45799326.5	45915700.4
81000000.0	46287239.1	46228638.9	46345913.5
82000000.0	46714900.3	46655855.5	46774019.9
83000000.0	47140483.0	47080994.8	47200046.3
84000000.0	47564009.0	47504083.3	47624010.3
85000000.0	47985500.2	47925141.1	48045935.4
86000000.0	48404977.9	48344190.1	48465842.1
87000000.0	48822462.7	48761246.0	48883756.3
88000000.0	49237975.2	49176337.5	49299690.1
89000000.0	49651535.3	49589484.0	49713664.3
90000000.0	50063162.7	50000696.4	50125707.1
91000000.0	50472876.6	50409999.2	50535832.5
92000000.0	50880696.0	50817413.2	50944057.6
93000000.0	51286639.3	51222954.6	51350403.0
94000000.0	51690724.7	51626642.0	51754887.0
95000000.0	52092970.1	52028484.1	52157536.1
96000000.0	52493393.1	52428533.2	52558333.3
97000000.0	52892010.9	52826749.7	52957352.8
98000000.0	53288840.4	53223232.5	53354529.2
99000000.0	53683898.2	53617858.3	53750019.4
100000000.0	54077200.7	54010809.3	54143673.8
101000000.0	54468764.0	54401997.4	54535612.4
102000000.0	54858603.7	54791468.8	54925820.9
103000000.0	55246735.5	55179235.7	55314317.8
104000000.0	55633174.6	55565313.3	55701118.7
105000000.0	56017936.0	55949716.4	56086238.8
106000000.0	56400952.4	56332377.5	56469610.8
107000000.0	56782294.1	56713366.9	56851305.0
