total_reads	distinct_reads
0	0
1000000	803999
2000000	1.48016e+06
3000000	2.09299e+06
4000000	2.66098e+06
5000000	3.19388e+06
6000000	3.69788e+06
7000000	4.17732e+06
8000000	4.63542e+06
9000000	5.0747e+06
10000000	5.49714e+06
11000000	5.9044e+06
12000000	6.29784e+06
13000000	6.67865e+06
14000000	7.04781e+06
15000000	7.4062e+06
16000000	7.75456e+06
17000000	8.09358e+06
18000000	8.42384e+06
19000000	8.7459e+06
20000000	9.06022e+06
21000000	9.36723e+06
22000000	9.66734e+06
23000000	9.9609e+06
24000000	1.02482e+07
25000000	1.05297e+07
26000000	1.08054e+07
27000000	1.10758e+07
28000000	1.13411e+07
29000000	1.16014e+07
30000000	1.1857e+07
31000000	1.21081e+07
32000000	1.23548e+07
33000000	1.25974e+07
34000000	1.28359e+07
35000000	1.30705e+07
36000000	1.33014e+07
37000000	1.35287e+07
38000000	1.37525e+07
39000000	1.39729e+07
40000000	1.41901e+07
41000000	1.44041e+07
42000000	1.46151e+07
43000000	1.48231e+07
44000000	1.50282e+07
45000000	1.52306e+07
46000000	1.54302e+07
47000000	1.56273e+07
48000000	1.58217e+07
49000000	1.60137e+07
50000000	1.62033e+07
51000000	1.63905e+07
52000000	1.65754e+07
53000000	1.67581e+07
54000000	1.69386e+07
55000000	1.7117e+07
56000000	1.72933e+07
57000000	1.74676e+07
58000000	1.764e+07
