TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
0	0	0	0
1000000.0	803978.5	801844.1	806118.6
2000000.0	1480177.0	1476153.8	1484211.2
3000000.0	2092959.5	2087273.2	2098661.3
4000000.0	2660874.5	2653692.3	2668076.1
5000000.0	3193722.0	3185175.9	3202291.1
6000000.0	3697674.0	3687870.3	3707503.7
7000000.0	4177110.5	4166142.8	4188107.1
8000000.0	4635222.0	4623166.2	4647309.3
9000000.0	5074496.5	5061421.1	5087605.7
10000000.0	5496937.0	5482899.5	5511010.5
11000000.0	5904187.0	5889241.5	5919170.5
12000000.0	6297623.5	6281816.9	6313469.9
13000000.0	6678407.5	6661782.1	6695074.4
14000000.0	7047560.0	7030155.6	7065007.4
15000000.0	7405953.5	7387805.9	7424145.7
16000000.0	7754325.5	7735466.3	7773230.7
17000000.0	8093349.0	8073808.4	8112936.9
18000000.0	8423619.5	8403425.5	8443862.0
19000000.0	8745674.5	8724852.0	8766546.7
20000000.0	9059988.0	9038561.7	9081465.1
21000000.0	9367002.0	9344994.5	9389061.3
22000000.0	9667104.0	9644535.1	9689725.7
23000000.0	9960654.0	9937543.8	9983817.9
24000000.0	10247985.0	10224351.9	10271672.7
25000000.0	10529394.5	10505253.9	10553590.6
26000000.0	10805133.5	10780504.7	10829818.5
27000000.0	11075484.0	11050381.7	11100643.4
28000000.0	11340685.5	11315123.0	11366305.7
29000000.0	11600961.5	11574952.8	11627028.6
30000000.0	11856512.5	11830071.8	11883012.3
31000000.0	12107537.0	12080675.8	12134458.0
32000000.0	12354213.0	12326944.3	12381542.0
33000000.0	12596700.5	12569033.4	12624428.5
34000000.0	12835163.5	12807110.7	12863277.8
35000000.0	13069747.0	13041318.2	13098237.8
36000000.0	13300589.5	13271793.9	13329447.6
37000000.0	13527823.0	13498671.1	13557037.9
38000000.0	13751571.0	13722071.5	13781133.9
39000000.0	13971948.5	13942109.3	14001851.6
40000000.0	14189067.0	14158897.0	14219301.2
41000000.0	14403029.5	14372536.4	14433587.3
42000000.0	14613937.5	14583129.3	14644810.8
43000000.0	14821886.5	14790769.6	14853068.8
44000000.0	15026959.5	14995542.2	15058442.6
45000000.0	15229248.5	15197536.5	15261026.7
